,weights1,weights2,MAP
292,"[(65, 35)]","[(95, 5)]",[0.0737086811266188]
273,"[(65, 35)]","[(0, 100)]",[0.0737086811266188]
294,"[(70, 30)]","[(0, 100)]",[0.07369360694801351]
305,"[(70, 30)]","[(55, 45)]",[0.07369360694801351]
295,"[(70, 30)]","[(5, 95)]",[0.07369360694801351]
314,"[(70, 30)]","[(100, 0)]",[0.07369360694801351]
313,"[(70, 30)]","[(95, 5)]",[0.07369360694801351]
312,"[(70, 30)]","[(90, 10)]",[0.07369360694801351]
311,"[(70, 30)]","[(85, 15)]",[0.07369360694801351]
310,"[(70, 30)]","[(80, 20)]",[0.07369360694801351]
308,"[(70, 30)]","[(70, 30)]",[0.07369360694801351]
307,"[(70, 30)]","[(65, 35)]",[0.07369360694801351]
306,"[(70, 30)]","[(60, 40)]",[0.07369360694801351]
309,"[(70, 30)]","[(75, 25)]",[0.07369360694801351]
304,"[(70, 30)]","[(50, 50)]",[0.07369360694801351]
302,"[(70, 30)]","[(40, 60)]",[0.07369360694801351]
301,"[(70, 30)]","[(35, 65)]",[0.07369360694801351]
300,"[(70, 30)]","[(30, 70)]",[0.07369360694801351]
299,"[(70, 30)]","[(25, 75)]",[0.07369360694801351]
298,"[(70, 30)]","[(20, 80)]",[0.07369360694801351]
297,"[(70, 30)]","[(15, 85)]",[0.07369360694801351]
303,"[(70, 30)]","[(45, 55)]",[0.07369360694801351]
296,"[(70, 30)]","[(10, 90)]",[0.07369360694801351]
256,"[(60, 40)]","[(20, 80)]",[0.07335990101361384]
260,"[(60, 40)]","[(40, 60)]",[0.07335990101361384]
259,"[(60, 40)]","[(35, 65)]",[0.07335990101361384]
257,"[(60, 40)]","[(25, 75)]",[0.07335990101361384]
252,"[(60, 40)]","[(0, 100)]",[0.07335990101361384]
255,"[(60, 40)]","[(15, 85)]",[0.07335990101361384]
254,"[(60, 40)]","[(10, 90)]",[0.07335990101361384]
253,"[(60, 40)]","[(5, 95)]",[0.07335990101361384]
262,"[(60, 40)]","[(50, 50)]",[0.07335990101361384]
261,"[(60, 40)]","[(45, 55)]",[0.07335990101361384]
258,"[(60, 40)]","[(30, 70)]",[0.07335990101361384]
