,hparams,epochs,auc,precision
119,"{'no_components': 90, 'learning_schedule': 'adagrad', 'learning_rate': 0.006834244078737549, 'loss': 'warp-kos', 'item_alpha': 1.1723281267636473e-05, 'user_alpha': 1.2601962067041923e-05, 'k': 10}",172.0,0.8719083666801453,0.013558422215282917
113,"{'no_components': 194, 'learning_schedule': 'adadelta', 'learning_rate': 0.22451682245951346, 'loss': 'warp-kos', 'item_alpha': 9.024054089333509e-06, 'user_alpha': 1.339298663705707e-05, 'k': 10}",11.0,0.8573550581932068,0.013434682972729206
120,"{'no_components': 242, 'learning_schedule': 'adadelta', 'learning_rate': 0.061208542637607444, 'loss': 'warp-kos', 'item_alpha': 1.5425707445133943e-05, 'user_alpha': 2.7014920824453138e-06, 'k': 10}",16.0,0.8516742587089539,0.013434682972729206
126,"{'no_components': 60, 'learning_schedule': 'adadelta', 'learning_rate': 0.025264471830111504, 'loss': 'warp-kos', 'item_alpha': 9.320657085386924e-06, 'user_alpha': 1.08368051599259e-05, 'k': 10}",145.0,0.8253737092018127,0.013204878196120262
80,"{'no_components': 81, 'learning_schedule': 'adadelta', 'learning_rate': 0.06959821503715503, 'loss': 'warp-kos', 'item_alpha': 2.739155925796491e-06, 'user_alpha': 5.997563688816168e-06, 'k': 10}",91.0,0.8315650820732117,0.013116491958498955
50,"{'no_components': 155, 'learning_schedule': 'adadelta', 'learning_rate': 0.07534665304120353, 'loss': 'warp-kos', 'item_alpha': 4.972990925541574e-06, 'user_alpha': 1.0835706178439954e-06, 'k': 10}",23.0,0.8470516204833984,0.013116491958498955
42,"{'no_components': 28, 'learning_schedule': 'adadelta', 'learning_rate': 0.09525960342372018, 'loss': 'warp-kos', 'item_alpha': 1.3752889494212142e-05, 'user_alpha': 1.646893225225771e-07, 'k': 10}",20.0,0.8583816289901733,0.013098816387355328
37,"{'no_components': 44, 'learning_schedule': 'adadelta', 'learning_rate': 0.2574055523188903, 'loss': 'warp-kos', 'item_alpha': 1.6597866221093964e-06, 'user_alpha': 3.2797087243968917e-06, 'k': 10}",13.0,0.8587798476219177,0.012745272368192673
121,"{'no_components': 27, 'learning_schedule': 'adagrad', 'learning_rate': 0.06510783151983092, 'loss': 'warp-kos', 'item_alpha': 1.768696035641781e-05, 'user_alpha': 1.193280265236177e-05, 'k': 10}",180.0,0.8062804937362671,0.012639207765460014
60,"{'no_components': 72, 'learning_schedule': 'adagrad', 'learning_rate': 0.05363902896142256, 'loss': 'warp-kos', 'item_alpha': 1.3441496145576055e-07, 'user_alpha': 7.438819591784341e-06, 'k': 10}",33.0,0.8195706009864807,0.012462436221539974
69,"{'no_components': 86, 'learning_schedule': 'adadelta', 'learning_rate': 0.09010723106581442, 'loss': 'warp-kos', 'item_alpha': 4.4943043700695797e-07, 'user_alpha': 2.613358219492833e-06, 'k': 10}",101.0,0.8292381763458252,0.01228566374629736
135,"{'no_components': 41, 'learning_schedule': 'adadelta', 'learning_rate': 0.056743281399524316, 'loss': 'warp-kos', 'item_alpha': 1.1135766658907626e-05, 'user_alpha': 3.393434283762549e-05, 'k': 10}",13.0,0.8593929409980774,0.01217960100620985
23,"{'no_components': 159, 'learning_schedule': 'adadelta', 'learning_rate': 0.05149170615866575, 'loss': 'warp-kos', 'item_alpha': 5.737844690001503e-06, 'user_alpha': 1.8870816793770697e-06, 'k': 10}",40.0,0.8389269113540649,0.012126569636166096
97,"{'no_components': 73, 'learning_schedule': 'adadelta', 'learning_rate': 0.3417259297994274, 'loss': 'warp-kos', 'item_alpha': 1.3536649109158331e-05, 'user_alpha': 4.726000756084687e-06, 'k': 10}",133.0,0.824950098991394,0.012002828530967236
128,"{'no_components': 196, 'learning_schedule': 'adadelta', 'learning_rate': 0.007055549463101642, 'loss': 'warp-kos', 'item_alpha': 1.7023989481683673e-06, 'user_alpha': 8.14585706746491e-06, 'k': 10}",32.0,0.8410674929618835,0.011932119727134705
33,"{'no_components': 197, 'learning_schedule': 'adadelta', 'learning_rate': 0.09074324467302991, 'loss': 'warp-kos', 'item_alpha': 1.3091866670454587e-05, 'user_alpha': 2.0651891557439484e-05, 'k': 10}",39.0,0.8350803852081299,0.011861409991979599
19,"{'no_components': 63, 'learning_schedule': 'adadelta', 'learning_rate': 0.05495331687283392, 'loss': 'warp-kos', 'item_alpha': 8.98199904876515e-07, 'user_alpha': 3.0549811054503233e-06, 'k': 10}",178.0,0.822973906993866,0.011596253141760826
31,"{'no_components': 102, 'learning_schedule': 'adadelta', 'learning_rate': 0.05578300933034455, 'loss': 'warp-kos', 'item_alpha': 2.9268597355997942e-06, 'user_alpha': 1.4111709338680515e-05, 'k': 10}",93.0,0.8278021812438965,0.011543221771717072
82,"{'no_components': 17, 'learning_schedule': 'adadelta', 'learning_rate': 0.00428946641905763, 'loss': 'warp-kos', 'item_alpha': 1.9749029082429617e-05, 'user_alpha': 4.16798051770064e-06, 'k': 10}",44.0,0.852167546749115,0.011490189470350742
29,"{'no_components': 216, 'learning_schedule': 'adadelta', 'learning_rate': 0.05297727065833019, 'loss': 'warp-kos', 'item_alpha': 9.16076784032034e-06, 'user_alpha': 2.2114526481562595e-05, 'k': 10}",38.0,0.8367055058479309,0.011472512036561966
18,"{'no_components': 33, 'learning_schedule': 'adadelta', 'learning_rate': 0.03720055578396329, 'loss': 'warp-kos', 'item_alpha': 2.2441274813127892e-05, 'user_alpha': 9.893664837843497e-06, 'k': 10}",11.0,0.8541342616081238,0.011454835534095764
25,"{'no_components': 141, 'learning_schedule': 'adagrad', 'learning_rate': 0.043965681126224745, 'loss': 'warp-kos', 'item_alpha': 4.270746462772526e-06, 'user_alpha': 2.7704275155593197e-06, 'k': 10}",52.0,0.8224790692329407,0.011419479735195637
56,"{'no_components': 102, 'learning_schedule': 'adadelta', 'learning_rate': 0.3078178270914304, 'loss': 'warp-kos', 'item_alpha': 1.3844147346212842e-06, 'user_alpha': 1.0598326268041863e-05, 'k': 10}",92.0,0.8286554217338562,0.01133109349757433
49,"{'no_components': 75, 'learning_schedule': 'adadelta', 'learning_rate': 0.026757136746240414, 'loss': 'warp-kos', 'item_alpha': 1.1444086268101147e-05, 'user_alpha': 8.44948602779893e-06, 'k': 10}",160.0,0.822248637676239,0.01133109349757433
103,"{'no_components': 88, 'learning_schedule': 'adadelta', 'learning_rate': 0.01208492780742697, 'loss': 'warp-kos', 'item_alpha': 2.4641302346990207e-05, 'user_alpha': 1.0418814747990436e-05, 'k': 10}",144.0,0.8214311599731445,0.011154322884976864
44,"{'no_components': 68, 'learning_schedule': 'adadelta', 'learning_rate': 0.023543119862709176, 'loss': 'warp-kos', 'item_alpha': 7.86062152723115e-06, 'user_alpha': 1.6768809700917152e-06, 'k': 10}",172.0,0.8222899436950684,0.011083612218499184
95,"{'no_components': 94, 'learning_schedule': 'adadelta', 'learning_rate': 0.1165016521626967, 'loss': 'warp-kos', 'item_alpha': 7.186125211980011e-06, 'user_alpha': 6.857406984963851e-06, 'k': 10}",140.0,0.8226982355117798,0.010942195542156696
16,"{'no_components': 94, 'learning_schedule': 'adadelta', 'learning_rate': 0.08278667919845238, 'loss': 'warp-kos', 'item_alpha': 5.8104319680091744e-06, 'user_alpha': 3.138764249075073e-06, 'k': 10}",149.0,0.8221257925033569,0.010836133733391762
51,"{'no_components': 145, 'learning_schedule': 'adagrad', 'learning_rate': 0.012322884189778801, 'loss': 'warp-kos', 'item_alpha': 1.7648010876582975e-06, 'user_alpha': 1.136044266775856e-06, 'k': 10}",23.0,0.868040919303894,0.010836132802069187
52,"{'no_components': 42, 'learning_schedule': 'adagrad', 'learning_rate': 0.018689233367402882, 'loss': 'warp-kos', 'item_alpha': 1.719962255891624e-05, 'user_alpha': 2.269567050942815e-06, 'k': 10}",32.0,0.8646669387817383,0.010747745633125305
5,"{'no_components': 80, 'learning_schedule': 'adagrad', 'learning_rate': 0.06125840019600947, 'loss': 'warp-kos', 'item_alpha': 5.31804623754211e-06, 'user_alpha': 5.610297360155724e-05, 'k': 10}",93.0,0.7964366674423218,0.010712392628192902
39,"{'no_components': 106, 'learning_schedule': 'adagrad', 'learning_rate': 0.04559495845411171, 'loss': 'warp-kos', 'item_alpha': 9.397630011827473e-07, 'user_alpha': 1.2798115688732836e-05, 'k': 10}",111.0,0.8126964569091797,0.01069471426308155
