,threshold,weights1,weights2,MAP
329,[14],"[(100, 0, 0)]","[[100, 0, 0]]",[0.07516190873916642]
263,[13],"[(100, 0, 0)]","[[100, 0, 0]]",[0.07516190873916642]
65,[10],"[(100, 0, 0)]","[[100, 0, 0]]",[0.07516190873916642]
197,[12],"[(100, 0, 0)]","[[100, 0, 0]]",[0.07516190873916642]
131,[11],"[(100, 0, 0)]","[[100, 0, 0]]",[0.07516190873916642]
395,[15],"[(100, 0, 0)]","[[100, 0, 0]]",[0.07516190873916642]
309,[14],"[(50, 0, 50)]","[[100, 0, 0]]",[0.07516037411959646]
393,[15],"[(90, 0, 10)]","[[100, 0, 0]]",[0.07515430729215568]
170,[12],"[(40, 0, 60)]","[[100, 0, 0]]",[0.07514995610425722]
258,[13],"[(80, 0, 20)]","[[100, 0, 0]]",[0.07514915976112893]
56,[10],"[(70, 0, 30)]","[[100, 0, 0]]",[0.07514788504982896]
366,[15],"[(30, 60, 10)]","[[100, 0, 0]]",[0.07514436046320265]
63,[10],"[(90, 0, 10)]","[[100, 0, 0]]",[0.07513087095397654]
53,[10],"[(60, 20, 20)]","[[100, 0, 0]]",[0.07513064920938221]
315,[14],"[(60, 0, 40)]","[[100, 0, 0]]",[0.07513007511190327]
52,[10],"[(60, 10, 30)]","[[100, 0, 0]]",[0.07512687440154558]
243,[13],"[(50, 0, 50)]","[[100, 0, 0]]",[0.0751249585627662]
324,[14],"[(80, 0, 20)]","[[100, 0, 0]]",[0.07512388087735616]
320,[14],"[(70, 0, 30)]","[[100, 0, 0]]",[0.07511762885448654]
129,[11],"[(90, 0, 10)]","[[100, 0, 0]]",[0.07511757796958578]
241,[13],"[(40, 50, 10)]","[[100, 0, 0]]",[0.0751175204596269]
261,[13],"[(90, 0, 10)]","[[100, 0, 0]]",[0.07511706355330329]
233,[13],"[(30, 50, 20)]","[[100, 0, 0]]",[0.07511627664670768]
47,[10],"[(50, 20, 30)]","[[100, 0, 0]]",[0.07511128772736794]
45,[10],"[(50, 0, 50)]","[[100, 0, 0]]",[0.07510849874489098]
327,[14],"[(90, 0, 10)]","[[100, 0, 0]]",[0.07510828340266351]
167,[12],"[(30, 50, 20)]","[[100, 0, 0]]",[0.07509861613446397]
195,[12],"[(90, 0, 10)]","[[100, 0, 0]]",[0.07509728190898567]
97,[11],"[(30, 10, 60)]","[[100, 0, 0]]",[0.0750959039247199]
301,[14],"[(30, 70, 0)]","[[100, 0, 0]]",[0.07506105024519828]
249,[13],"[(60, 0, 40)]","[[100, 0, 0]]",[0.07505884916704415]
231,[13],"[(30, 30, 40)]","[[100, 0, 0]]",[0.07505817906189423]
58,[10],"[(70, 20, 10)]","[[100, 0, 0]]",[0.07505762007956922]
59,[10],"[(70, 30, 0)]","[[100, 0, 0]]",[0.07505308675824343]
302,[14],"[(40, 0, 60)]","[[100, 0, 0]]",[0.07503381710844323]
104,[11],"[(40, 0, 60)]","[[100, 0, 0]]",[0.0750333940511564]
254,[13],"[(70, 0, 30)]","[[100, 0, 0]]",[0.07502376191246686]
166,[12],"[(30, 40, 30)]","[[100, 0, 0]]",[0.07502073790744258]
286,[14],"[(20, 10, 70)]","[[100, 0, 0]]",[0.0749986177846044]
367,[15],"[(30, 70, 0)]","[[100, 0, 0]]",[0.07498649495807451]
232,[13],"[(30, 40, 30)]","[[100, 0, 0]]",[0.0749731397872132]
236,[13],"[(40, 0, 60)]","[[100, 0, 0]]",[0.07496230021775162]
54,[10],"[(60, 30, 10)]","[[100, 0, 0]]",[0.07494922933982832]
290,[14],"[(20, 50, 30)]","[[100, 0, 0]]",[0.0749492216848241]
356,[15],"[(20, 50, 30)]","[[100, 0, 0]]",[0.07494141608581038]
234,[13],"[(30, 60, 10)]","[[100, 0, 0]]",[0.07493072137686477]
154,[12],"[(20, 10, 70)]","[[100, 0, 0]]",[0.07490303974037235]
162,[12],"[(30, 0, 70)]","[[100, 0, 0]]",[0.07490046081121077]
55,[10],"[(60, 40, 0)]","[[100, 0, 0]]",[0.07489636193225076]
294,[14],"[(30, 0, 70)]","[[100, 0, 0]]",[0.07489522595746331]
