,topK,weights,MAP
370,[1150],"[array([0.4, 0.2, 0.4])]",[0.07031391482571318]
238,[1050],"[array([0.4, 0.2, 0.4])]",[0.07031317602038019]
106,[950],"[array([0.4, 0.2, 0.4])]",[0.07027928918180762]
304,[1100],"[array([0.4, 0.2, 0.4])]",[0.07027915665280757]
172,[1000],"[array([0.4, 0.2, 0.4])]",[0.0702285410412666]
245,[1050],"[array([0.5, 0.2, 0.3])]",[0.06986735236130205]
443,[1200],"[array([0.5, 0.2, 0.3])]",[0.06986731984841144]
377,[1150],"[array([0.5, 0.2, 0.3])]",[0.06986731984841144]
311,[1100],"[array([0.5, 0.2, 0.3])]",[0.0698567567220289]
47,[900],"[array([0.5, 0.2, 0.3])]",[0.06980472952771274]
179,[1000],"[array([0.5, 0.2, 0.3])]",[0.06978755977082948]
433,[1200],"[array([0.3, 0.7, 0. ])]",[0.06976800087321598]
367,[1150],"[array([0.3, 0.7, 0. ])]",[0.06976800087321598]
113,[950],"[array([0.5, 0.2, 0.3])]",[0.06976596149658694]
301,[1100],"[array([0.3, 0.7, 0. ])]",[0.06976324385874916]
235,[1050],"[array([0.3, 0.7, 0. ])]",[0.06966385198007727]
169,[1000],"[array([0.3, 0.7, 0. ])]",[0.06958881139352337]
37,[900],"[array([0.3, 0.7, 0. ])]",[0.06958679050024996]
103,[950],"[array([0.3, 0.7, 0. ])]",[0.06955883573320769]
345,[1150],"[array([0.1, 0.4, 0.5])]",[0.06915795134695338]
411,[1200],"[array([0.1, 0.4, 0.5])]",[0.06915468948007122]
279,[1100],"[array([0.1, 0.4, 0.5])]",[0.06915380445023973]
53,[900],"[array([0.6, 0.2, 0.2])]",[0.0691150945136367]
185,[1000],"[array([0.6, 0.2, 0.2])]",[0.06909917241109317]
213,[1050],"[array([0.1, 0.4, 0.5])]",[0.0690862345353883]
119,[950],"[array([0.6, 0.2, 0.2])]",[0.06907588488619572]
317,[1100],"[array([0.6, 0.2, 0.2])]",[0.06906754933820013]
147,[1000],"[array([0.1, 0.4, 0.5])]",[0.06906734387788724]
15,[900],"[array([0.1, 0.4, 0.5])]",[0.06905251126337834]
251,[1050],"[array([0.6, 0.2, 0.2])]",[0.06903565719886841]
383,[1150],"[array([0.6, 0.2, 0.2])]",[0.06903362937433664]
