,threshold,weights1,weights2,MAP
117,[11],"[[100, 0, 0]]","[(60, 0, 40)]",[0.07376172724374896]
46,[10],"[[100, 0, 0]]","[(50, 10, 40)]",[0.07374546985202131]
41,[10],"[[100, 0, 0]]","[(40, 30, 30)]",[0.07370339352293324]
183,[12],"[[100, 0, 0]]","[(60, 0, 40)]",[0.07370313055266156]
381,[15],"[[100, 0, 0]]","[(60, 0, 40)]",[0.07367666909600303]
50,[10],"[[100, 0, 0]]","[(50, 50, 0)]",[0.073634496313862]
244,[13],"[[100, 0, 0]]","[(50, 10, 40)]",[0.07357410284018799]
115,[11],"[[100, 0, 0]]","[(50, 40, 10)]",[0.07353811624788045]
313,[14],"[[100, 0, 0]]","[(50, 40, 10)]",[0.07350904694006252]
310,[14],"[[100, 0, 0]]","[(50, 10, 40)]",[0.07349541919537896]
379,[15],"[[100, 0, 0]]","[(50, 40, 10)]",[0.07348871747580771]
39,[10],"[[100, 0, 0]]","[(40, 10, 50)]",[0.07346297990418307]
112,[11],"[[100, 0, 0]]","[(50, 10, 40)]",[0.0734216698549341]
247,[13],"[[100, 0, 0]]","[(50, 40, 10)]",[0.07341803211342728]
376,[15],"[[100, 0, 0]]","[(50, 10, 40)]",[0.07340544778757123]
106,[11],"[[100, 0, 0]]","[(40, 20, 40)]",[0.07340525822183067]
42,[10],"[[100, 0, 0]]","[(40, 40, 20)]",[0.07340354678558177]
238,[13],"[[100, 0, 0]]","[(40, 20, 40)]",[0.07335861168821475]
178,[12],"[[100, 0, 0]]","[(50, 10, 40)]",[0.07335701708124825]
45,[10],"[[100, 0, 0]]","[(50, 0, 50)]",[0.07329810781546192]
181,[12],"[[100, 0, 0]]","[(50, 40, 10)]",[0.07328788212166462]
243,[13],"[[100, 0, 0]]","[(50, 0, 50)]",[0.07328164799758667]
304,[14],"[[100, 0, 0]]","[(40, 20, 40)]",[0.07327056950848466]
309,[14],"[[100, 0, 0]]","[(50, 0, 50)]",[0.07324623244075643]
172,[12],"[[100, 0, 0]]","[(40, 20, 40)]",[0.07319843615334543]
237,[13],"[[100, 0, 0]]","[(40, 10, 50)]",[0.07318192990439018]
370,[15],"[[100, 0, 0]]","[(40, 20, 40)]",[0.07314702893086066]
111,[11],"[[100, 0, 0]]","[(50, 0, 50)]",[0.07313834064027139]
105,[11],"[[100, 0, 0]]","[(40, 10, 50)]",[0.07310905148073271]
375,[15],"[[100, 0, 0]]","[(50, 0, 50)]",[0.07309772279825708]
303,[14],"[[100, 0, 0]]","[(40, 10, 50)]",[0.07308134882777438]
177,[12],"[[100, 0, 0]]","[(50, 0, 50)]",[0.07303591802017155]
107,[11],"[[100, 0, 0]]","[(40, 30, 30)]",[0.07298771938573966]
171,[12],"[[100, 0, 0]]","[(40, 10, 50)]",[0.07298746217759843]
369,[15],"[[100, 0, 0]]","[(40, 10, 50)]",[0.07294317661429724]
116,[11],"[[100, 0, 0]]","[(50, 50, 0)]",[0.07288272284702632]
239,[13],"[[100, 0, 0]]","[(40, 30, 30)]",[0.07285125100917997]
43,[10],"[[100, 0, 0]]","[(40, 50, 10)]",[0.07282542706127149]
248,[13],"[[100, 0, 0]]","[(50, 50, 0)]",[0.07277154913746628]
305,[14],"[[100, 0, 0]]","[(40, 30, 30)]",[0.07273257884721127]
173,[12],"[[100, 0, 0]]","[(40, 30, 30)]",[0.07272644869200852]
380,[15],"[[100, 0, 0]]","[(50, 50, 0)]",[0.07272636891294651]
314,[14],"[[100, 0, 0]]","[(50, 50, 0)]",[0.07272149364954199]
108,[11],"[[100, 0, 0]]","[(40, 40, 20)]",[0.07265090482372369]
182,[12],"[[100, 0, 0]]","[(50, 50, 0)]",[0.07264330315402194]
371,[15],"[[100, 0, 0]]","[(40, 30, 30)]",[0.07263691963209826]
240,[13],"[[100, 0, 0]]","[(40, 40, 20)]",[0.07252127125246279]
306,[14],"[[100, 0, 0]]","[(40, 40, 20)]",[0.07247044592164302]
372,[15],"[[100, 0, 0]]","[(40, 40, 20)]",[0.07243748820572612]
174,[12],"[[100, 0, 0]]","[(40, 40, 20)]",[0.07239431064165157]
31,[10],"[[100, 0, 0]]","[(30, 10, 60)]",[0.07239039623437481]
38,[10],"[[100, 0, 0]]","[(40, 0, 60)]",[0.07237942931347949]
32,[10],"[[100, 0, 0]]","[(30, 20, 50)]",[0.07237158730448215]
44,[10],"[[100, 0, 0]]","[(40, 60, 0)]",[0.07226819029977453]
236,[13],"[[100, 0, 0]]","[(40, 0, 60)]",[0.07220685935253104]
33,[10],"[[100, 0, 0]]","[(30, 30, 40)]",[0.07214918710758761]
104,[11],"[[100, 0, 0]]","[(40, 0, 60)]",[0.07213576551912627]
302,[14],"[[100, 0, 0]]","[(40, 0, 60)]",[0.07213534246183942]
170,[12],"[[100, 0, 0]]","[(40, 0, 60)]",[0.07201920346602543]
109,[11],"[[100, 0, 0]]","[(40, 50, 10)]",[0.07200815320301174]
368,[15],"[[100, 0, 0]]","[(40, 0, 60)]",[0.07197452424065352]
30,[10],"[[100, 0, 0]]","[(30, 0, 70)]",[0.07193589141082024]
34,[10],"[[100, 0, 0]]","[(30, 40, 30)]",[0.0718086378499571]
97,[11],"[[100, 0, 0]]","[(30, 10, 60)]",[0.0718053546047361]
241,[13],"[[100, 0, 0]]","[(40, 50, 10)]",[0.07172640272857965]
228,[13],"[[100, 0, 0]]","[(30, 0, 70)]",[0.07172187586529379]
96,[11],"[[100, 0, 0]]","[(30, 0, 70)]",[0.07170802253459534]
229,[13],"[[100, 0, 0]]","[(30, 10, 60)]",[0.07168194313223751]
175,[12],"[[100, 0, 0]]","[(40, 50, 10)]",[0.07164783733270826]
294,[14],"[[100, 0, 0]]","[(30, 0, 70)]",[0.07162726803021272]
98,[11],"[[100, 0, 0]]","[(30, 20, 50)]",[0.07162660146028295]
162,[12],"[[100, 0, 0]]","[(30, 0, 70)]",[0.07162203317646523]
295,[14],"[[100, 0, 0]]","[(30, 10, 60)]",[0.07160415971592281]
373,[15],"[[100, 0, 0]]","[(40, 50, 10)]",[0.0715694368395456]
307,[14],"[[100, 0, 0]]","[(40, 50, 10)]",[0.0715343613319203]
163,[12],"[[100, 0, 0]]","[(30, 10, 60)]",[0.07151969824095906]
230,[13],"[[100, 0, 0]]","[(30, 20, 50)]",[0.07144380998099407]
110,[11],"[[100, 0, 0]]","[(40, 60, 0)]",[0.07140739648997951]
