,hparams,epochs,score
71,"{'no_components': 17, 'learning_schedule': 'adagrad', 'learning_rate': 0.055204117657140186, 'loss': 'warp', 'item_alpha': 8.58069292571522e-09, 'user_alpha': 6.226844559209358e-11}",80.0,0.8437615633010864
66,"{'no_components': 36, 'learning_schedule': 'adagrad', 'learning_rate': 0.04818719289469021, 'loss': 'warp', 'item_alpha': 2.2813034807772326e-08, 'user_alpha': 1.4421211013868932e-08}",88.0,0.8410340547561646
20,"{'no_components': 63, 'learning_schedule': 'adagrad', 'learning_rate': 0.045252978052370975, 'loss': 'warp', 'item_alpha': 3.39698597190757e-10, 'user_alpha': 6.267519560143883e-10}",89.0,0.8387321829795837
85,"{'no_components': 41, 'learning_schedule': 'adagrad', 'learning_rate': 0.05891407377129228, 'loss': 'warp', 'item_alpha': 1.99195723498508e-08, 'user_alpha': 2.3974839014465112e-08}",36.0,0.8324839472770691
37,"{'no_components': 47, 'learning_schedule': 'adagrad', 'learning_rate': 0.05773029839692944, 'loss': 'warp', 'item_alpha': 1.452265623816744e-09, 'user_alpha': 1.3889478012570206e-09}",39.0,0.8304122686386108
23,"{'no_components': 46, 'learning_schedule': 'adagrad', 'learning_rate': 0.05957768103535696, 'loss': 'warp', 'item_alpha': 1.4257567801466645e-08, 'user_alpha': 8.310146055559687e-09}",55.0,0.8241070508956909
69,"{'no_components': 45, 'learning_schedule': 'adagrad', 'learning_rate': 0.05871293344674086, 'loss': 'warp', 'item_alpha': 8.74622133378355e-10, 'user_alpha': 4.645843695245901e-09}",66.0,0.8240074515342712
53,"{'no_components': 18, 'learning_schedule': 'adagrad', 'learning_rate': 0.07457242790761015, 'loss': 'warp', 'item_alpha': 1.1032274159213122e-08, 'user_alpha': 1.4330140714179191e-08}",98.0,0.8238076567649841
74,"{'no_components': 56, 'learning_schedule': 'adagrad', 'learning_rate': 0.06251988570021767, 'loss': 'warp', 'item_alpha': 5.78366081791954e-09, 'user_alpha': 1.5539027399307124e-08}",40.0,0.8185431957244873
94,"{'no_components': 22, 'learning_schedule': 'adagrad', 'learning_rate': 0.010452269172191254, 'loss': 'warp', 'item_alpha': 1.8681928273305433e-08, 'user_alpha': 2.2818986832727443e-09}",15.0,0.8153765797615051
6,"{'no_components': 52, 'learning_schedule': 'adagrad', 'learning_rate': 0.0683187379712009, 'loss': 'warp', 'item_alpha': 3.3372051553226215e-09, 'user_alpha': 5.233987423149218e-09}",46.0,0.8102747201919556
95,"{'no_components': 45, 'learning_schedule': 'adagrad', 'learning_rate': 0.07349977857043453, 'loss': 'warp', 'item_alpha': 1.1274830981055004e-08, 'user_alpha': 3.2918813098115085e-09}",21.0,0.8074128031730652
87,"{'no_components': 34, 'learning_schedule': 'adagrad', 'learning_rate': 0.07647754750107173, 'loss': 'warp', 'item_alpha': 1.7352504995825128e-08, 'user_alpha': 9.750647969155271e-09}",46.0,0.8046832084655762
19,"{'no_components': 55, 'learning_schedule': 'adagrad', 'learning_rate': 0.07264178418649563, 'loss': 'warp', 'item_alpha': 1.4686873338916529e-09, 'user_alpha': 4.1176445783578955e-09}",71.0,0.8001448512077332
21,"{'no_components': 51, 'learning_schedule': 'adagrad', 'learning_rate': 0.07731940703673618, 'loss': 'warp', 'item_alpha': 1.5354968330825963e-08, 'user_alpha': 9.446170853236896e-10}",43.0,0.7956560850143433
88,"{'no_components': 37, 'learning_schedule': 'adagrad', 'learning_rate': 0.002427144013464865, 'loss': 'warp', 'item_alpha': 1.6479635164125945e-10, 'user_alpha': 1.6728871454068283e-08}",94.0,0.7935579419136047
84,"{'no_components': 35, 'learning_schedule': 'adagrad', 'learning_rate': 0.004626850691668857, 'loss': 'warp', 'item_alpha': 8.910657494348354e-09, 'user_alpha': 3.274217446239142e-08}",29.0,0.7878401875495911
82,"{'no_components': 30, 'learning_schedule': 'adagrad', 'learning_rate': 0.09459917781906477, 'loss': 'warp', 'item_alpha': 6.251140699490423e-08, 'user_alpha': 1.7058079567456993e-08}",41.0,0.7771359086036682
4,"{'no_components': 45, 'learning_schedule': 'adagrad', 'learning_rate': 0.0024568236860339995, 'loss': 'warp', 'item_alpha': 7.3882891249037224e-09, 'user_alpha': 1.4327308518021748e-09}",50.0,0.7665965557098389
54,"{'no_components': 49, 'learning_schedule': 'adagrad', 'learning_rate': 0.09697649183125286, 'loss': 'warp', 'item_alpha': 3.681318430290886e-08, 'user_alpha': 1.2960967620533454e-08}",48.0,0.7651328444480896
48,"{'no_components': 58, 'learning_schedule': 'adagrad', 'learning_rate': 0.09465923271606341, 'loss': 'warp', 'item_alpha': 8.163200985515892e-09, 'user_alpha': 2.5613365194812548e-08}",20.0,0.7613021731376648
17,"{'no_components': 54, 'learning_schedule': 'adagrad', 'learning_rate': 0.0014060499016388275, 'loss': 'warp', 'item_alpha': 5.572657496818986e-09, 'user_alpha': 1.0978903078236549e-10}",65.0,0.7474393844604492
45,"{'no_components': 52, 'learning_schedule': 'adagrad', 'learning_rate': 0.0021249972835456345, 'loss': 'warp', 'item_alpha': 2.4592613896923843e-08, 'user_alpha': 1.1128134262598865e-08}",20.0,0.7270207405090332
52,"{'no_components': 17, 'learning_schedule': 'adagrad', 'learning_rate': 0.11297854277819669, 'loss': 'warp', 'item_alpha': 3.0955155356138935e-08, 'user_alpha': 1.534088804422594e-09}",29.0,0.7184456586837769
29,"{'no_components': 36, 'learning_schedule': 'adagrad', 'learning_rate': 0.13905678738656713, 'loss': 'warp', 'item_alpha': 9.032116322880034e-09, 'user_alpha': 1.4873667785133587e-08}",74.0,0.7098749279975891
35,"{'no_components': 32, 'learning_schedule': 'adagrad', 'learning_rate': 0.12686361060026052, 'loss': 'warp', 'item_alpha': 4.857079953828962e-09, 'user_alpha': 4.018146299765477e-09}",40.0,0.7062618136405945
72,"{'no_components': 32, 'learning_schedule': 'adagrad', 'learning_rate': 0.12483036968371597, 'loss': 'warp', 'item_alpha': 1.599739865429771e-08, 'user_alpha': 1.7595319914971473e-09}",30.0,0.699447751045227
92,"{'no_components': 61, 'learning_schedule': 'adagrad', 'learning_rate': 0.00030863190782627907, 'loss': 'warp', 'item_alpha': 1.4190294111130955e-08, 'user_alpha': 3.3597962577905756e-09}",67.0,0.6589072346687317
