,Unnamed: 0,topK,weights,MAP
166,,[900],"[array([0.3, 0.3, 0.4])]",[0.07304682531554313]
167,,[900],"[array([0.3, 0.4, 0.3])]",[0.07442051629312248]
168,,[900],"[array([0.3, 0.5, 0.2])]",[0.0735831500530471]
169,,[900],"[array([0.3, 0.6, 0.1])]",[0.07120489532341244]
170,,[900],"[array([0.3, 0.7, 0. ])]",[0.06911770974143652]
171,,[900],"[array([0.4, 0. , 0.6])]",[0.06129420403054717]
172,,[900],"[array([0.4, 0.1, 0.5])]",[0.06653572447939617]
173,,[900],"[array([0.4, 0.2, 0.4])]",[0.0699525945075127]
174,,[900],"[array([0.4, 0.3, 0.3])]",[0.071767987328034]
175,,[900],"[array([0.4, 0.4, 0.2])]",[0.07439930625285675]
176,,[900],"[array([0.4, 0.5, 0.1])]",[0.07399225686025332]
177,,[900],"[array([0.4, 0.6, 0. ])]",[0.0737227827856535]
178,,[900],"[array([0.5, 0. , 0.5])]",[0.06170700461389079]
179,,[900],"[array([0.5, 0.1, 0.4])]",[0.0666318066682869]
180,,[900],"[array([0.5, 0.2, 0.3])]",[0.06946508049857662]
181,,[900],"[array([0.5, 0.3, 0.2])]",[0.07139803241561901]
182,,[900],"[array([0.5, 0.4, 0.1])]",[0.07344588018362914]
183,,[900],"[array([0.5, 0.5, 0. ])]",[0.07430291321512267]
184,,[900],"[array([0.6, 0. , 0.4])]",[0.062058564495531335]
185,,[900],"[array([0.6, 0.1, 0.3])]",[0.06665323305288948]
186,,[900],"[array([0.6, 0.2, 0.2])]",[0.06889356431492903]
187,,[900],"[array([0.6, 0.3, 0.1])]",[0.0712143480566399]
188,,[900],"[array([0.6, 0.4, 0. ])]",[0.07229416745911267]
189,,[900],"[array([0.7, 0. , 0.3])]",[0.06253531760061268]
190,,[900],"[array([0.7, 0.1, 0.2])]",[0.0666011251330745]
191,,[900],"[array([0.7, 0.2, 0.1])]",[0.06833355672027411]
192,,[900],"[array([0.7, 0.3, 0. ])]",[0.07044254887611623]
193,,[900],"[array([0.8, 0. , 0.2])]",[0.06178018617571472]
194,,[900],"[array([0.8, 0.1, 0.1])]",[0.06641719364272325]
195,,[900],"[array([0.8, 0.2, 0. ])]",[0.06818984487253674]
196,,[900],"[array([0.9, 0. , 0.1])]",[0.062056408428801904]
197,,[900],"[array([0.9, 0.1, 0. ])]",[0.06628315749760837]
198,,[900],"[array([1., 0., 0.])]",[0.06198491770430652]
199,,[1000],"[array([0., 0., 1.])]",[0.051077687998774976]
200,,[1000],"[array([0. , 0.1, 0.9])]",[0.06320768701715289]
201,,[1000],"[array([0. , 0.2, 0.8])]",[0.06593788493536565]
202,,[1000],"[array([0. , 0.3, 0.7])]",[0.061463958592295]
203,,[1000],"[array([0. , 0.4, 0.6])]",[0.0551876429425893]
204,,[1000],"[array([0. , 0.5, 0.5])]",[0.048993031101296575]
205,,[1000],"[array([0. , 0.6, 0.4])]",[0.043760885109777485]
206,,[1000],"[array([0. , 0.7, 0.3])]",[0.04031969585705152]
207,,[1000],"[array([0. , 0.8, 0.2])]",[0.037632895493815696]
208,,[1000],"[array([0. , 0.9, 0.1])]",[0.03586893750946706]
209,,[1000],"[array([0., 1., 0.])]",[0.03476758995259037]
210,,[1000],"[array([0.1, 0. , 0.9])]",[0.0572826718418725]
211,,[1000],"[array([0.1, 0.1, 0.8])]",[0.06696715021685853]
212,,[1000],"[array([0.1, 0.2, 0.7])]",[0.07085333563662657]
213,,[1000],"[array([0.1, 0.3, 0.6])]",[0.07171558136410974]
214,,[1000],"[array([0.1, 0.4, 0.5])]",[0.0690328618418605]
215,,[1000],"[array([0.1, 0.5, 0.4])]",[0.06370263587237174]
216,,[1000],"[array([0.1, 0.6, 0.3])]",[0.058224467955495365]
217,,[1000],"[array([0.1, 0.7, 0.2])]",[0.05259233276783163]
218,,[1000],"[array([0.1, 0.8, 0.1])]",[0.04784382540457497]
219,,[1000],"[array([0.1, 0.9, 0. ])]",[0.04486412503936616]
220,,[1000],"[array([0.2, 0. , 0.8])]",[0.060204791098442574]
221,,[1000],"[array([0.2, 0.1, 0.7])]",[0.06705993476912032]
222,,[1000],"[array([0.2, 0.2, 0.6])]",[0.0711764742135142]
223,,[1000],"[array([0.2, 0.3, 0.5])]",[0.07330638268015155]
224,,[1000],"[array([0.2, 0.4, 0.4])]",[0.07333159456176017]
225,,[1000],"[array([0.2, 0.5, 0.3])]",[0.0708967581051629]
226,,[1000],"[array([0.2, 0.6, 0.2])]",[0.0678565692050459]
227,,[1000],"[array([0.2, 0.7, 0.1])]",[0.06349244345863568]
228,,[1000],"[array([0.2, 0.8, 0. ])]",[0.05955165158135337]
229,,[1000],"[array([0.3, 0. , 0.7])]",[0.060162525259286816]
230,,[1000],"[array([0.3, 0.1, 0.6])]",[0.0667361149246949]
231,,[1000],"[array([0.3, 0.2, 0.5])]",[0.07033435624788403]
232,,[1000],"[array([0.3, 0.3, 0.4])]",[0.07269788383504949]
233,,[1000],"[array([0.3, 0.4, 0.3])]",[0.07415108645052898]
234,,[1000],"[array([0.3, 0.5, 0.2])]",[0.07326392749794634]
235,,[1000],"[array([0.3, 0.6, 0.1])]",[0.07102570912841248]
236,,[1000],"[array([0.3, 0.7, 0. ])]",[0.06903716172731272]
237,,[1000],"[array([0.4, 0. , 0.6])]",[0.06096106587476825]
238,,[1000],"[array([0.4, 0.1, 0.5])]",[0.06647762308099889]
239,,[1000],"[array([0.4, 0.2, 0.4])]",[0.06995559014726686]
240,,[1000],"[array([0.4, 0.3, 0.3])]",[0.07163010539231623]
241,,[1000],"[array([0.4, 0.4, 0.2])]",[0.07421334596370054]
242,,[1000],"[array([0.4, 0.5, 0.1])]",[0.07382793996810974]
243,,[1000],"[array([0.4, 0.6, 0. ])]",[0.07333196553718206]
244,,[1000],"[array([0.5, 0. , 0.5])]",[0.06210939787106468]
245,,[1000],"[array([0.5, 0.1, 0.4])]",[0.06657795240540376]
246,,[1000],"[array([0.5, 0.2, 0.3])]",[0.06938986203756141]
247,,[1000],"[array([0.5, 0.3, 0.2])]",[0.07146051509304047]
248,,[1000],"[array([0.5, 0.4, 0.1])]",[0.07336439628260956]
249,,[1000],"[array([0.5, 0.5, 0. ])]",[0.074157552201116]
250,,[1000],"[array([0.6, 0. , 0.4])]",[0.06203619153486347]
251,,[1000],"[array([0.6, 0.1, 0.3])]",[0.06662484941075722]
252,,[1000],"[array([0.6, 0.2, 0.2])]",[0.06862098715215265]
253,,[1000],"[array([0.6, 0.3, 0.1])]",[0.07102261116212959]
