,topK,weights,MAP
785,[1250],"[array([0.7, 0.3, 0. ])]",[0.07392414118535665]
587,[1100],"[array([0.7, 0.3, 0. ])]",[0.07392414118535665]
653,[1150],"[array([0.7, 0.3, 0. ])]",[0.07392414118535665]
983,[1400],"[array([0.7, 0.3, 0. ])]",[0.07392414118535665]
917,[1350],"[array([0.7, 0.3, 0. ])]",[0.07392414118535665]
719,[1200],"[array([0.7, 0.3, 0. ])]",[0.07392414118535665]
370,[950],"[array([0.4, 0.2, 0.4])]",[0.07375671140663097]
1096,[1500],"[array([0.4, 0.2, 0.4])]",[0.07374145629156274]
700,[1200],"[array([0.4, 0.2, 0.4])]",[0.07374145629156274]
634,[1150],"[array([0.4, 0.2, 0.4])]",[0.07374145629156274]
568,[1100],"[array([0.4, 0.2, 0.4])]",[0.07374145629156274]
898,[1350],"[array([0.4, 0.2, 0.4])]",[0.07374145629156274]
766,[1250],"[array([0.4, 0.2, 0.4])]",[0.07374145629156274]
1030,[1450],"[array([0.4, 0.2, 0.4])]",[0.07374145629156274]
502,[1050],"[array([0.4, 0.2, 0.4])]",[0.07374145629156274]
964,[1400],"[array([0.4, 0.2, 0.4])]",[0.07374145629156274]
832,[1300],"[array([0.4, 0.2, 0.4])]",[0.07374145629156274]
89,[750],"[array([0.2, 0.2, 0.6])]",[0.07374013077887118]
436,[1000],"[array([0.4, 0.2, 0.4])]",[0.07373590761047932]
106,[750],"[array([0.4, 0.2, 0.4])]",[0.07371839407431634]
155,[800],"[array([0.2, 0.2, 0.6])]",[0.0737156702846387]
40,[700],"[array([0.4, 0.2, 0.4])]",[0.07369341768847325]
172,[800],"[array([0.4, 0.2, 0.4])]",[0.07368030413738104]
304,[900],"[array([0.4, 0.2, 0.4])]",[0.07367114869668062]
485,[1050],"[array([0.2, 0.2, 0.6])]",[0.0736480974469675]
881,[1350],"[array([0.2, 0.2, 0.6])]",[0.0736473608963812]
1013,[1450],"[array([0.2, 0.2, 0.6])]",[0.0736473608963812]
617,[1150],"[array([0.2, 0.2, 0.6])]",[0.0736473608963812]
551,[1100],"[array([0.2, 0.2, 0.6])]",[0.0736473608963812]
1079,[1500],"[array([0.2, 0.2, 0.6])]",[0.0736473608963812]
749,[1250],"[array([0.2, 0.2, 0.6])]",[0.0736473608963812]
